"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 20:56:27 GMT 2024","Mon Jan 15 20:56:35 GMT 2024","7254","chromium","page-object.spec.ts","Bookstore POM","","","BooksPage test",""
"passed","Mon Jan 15 20:56:34 GMT 2024","Mon Jan 15 20:56:38 GMT 2024","3720","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Programming JavaScript Applications is present on page",""
"passed","Mon Jan 15 20:56:29 GMT 2024","Mon Jan 15 20:56:34 GMT 2024","4902","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Learning JavaScript Design Patterns is present on page",""
"passed","Mon Jan 15 20:56:38 GMT 2024","Mon Jan 15 20:56:41 GMT 2024","3248","chromium","page-object.spec.ts","Bookstore POM","","","Mock book list test",""
"passed","Mon Jan 15 20:56:35 GMT 2024","Mon Jan 15 20:56:38 GMT 2024","3859","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Eloquent JavaScript, Second Edition is present on page",""
"failed","Mon Jan 15 20:56:59 GMT 2024","Mon Jan 15 20:57:08 GMT 2024","9147","chromium","page-object.spec.ts","Bookstore POM","","","Failing test",""
"passed","Mon Jan 15 20:56:28 GMT 2024","Mon Jan 15 20:56:29 GMT 2024","1575","chromium","api-tests.spec.ts","Simple example API tests on PW","","","Luke Skywalker Test",""
"passed","Mon Jan 15 20:56:31 GMT 2024","Mon Jan 15 20:56:35 GMT 2024","4250","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Designing Evolvable Web APIs with ASP.NET is present on page",""
"passed","Mon Jan 15 20:56:29 GMT 2024","Mon Jan 15 20:56:34 GMT 2024","4563","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Git Pocket Guide is present on page",""
"skipped","Mon Jan 15 20:56:27 GMT 2024","Mon Jan 15 20:56:27 GMT 2024","0","chromium","example.spec.ts","Bookstore","","","Have correct title",""
"passed","Mon Jan 15 20:56:27 GMT 2024","Mon Jan 15 20:56:29 GMT 2024","1912","chromium","api-tests.spec.ts","Simple example API tests on PW","","","Tatooine test",""
"skipped","Mon Jan 15 20:56:27 GMT 2024","Mon Jan 15 20:56:27 GMT 2024","0","chromium","example.spec.ts","Bookstore","","","BookPage count test",""
"skipped","Mon Jan 15 20:56:27 GMT 2024","Mon Jan 15 20:56:27 GMT 2024","2","setup","global.setup.ts","","","","Setup",""
"passed","Mon Jan 15 20:56:35 GMT 2024","Mon Jan 15 20:56:39 GMT 2024","3749","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Understanding ECMAScript 6 is present on page",""
"passed","Mon Jan 15 20:56:27 GMT 2024","Mon Jan 15 20:56:31 GMT 2024","3527","chromium","page-object.spec.ts","Bookstore POM","","","Have correct title",""
"passed","Mon Jan 15 20:56:34 GMT 2024","Mon Jan 15 20:56:38 GMT 2024","3768","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name You Don't Know JS is present on page",""
"passed","Mon Jan 15 20:56:36 GMT 2024","Mon Jan 15 20:56:43 GMT 2024","6702","chromium","page-object.spec.ts","Bookstore POM","","","Book Content Test",""
"passed","Mon Jan 15 20:56:27 GMT 2024","Mon Jan 15 20:56:32 GMT 2024","4225","chromium","page-object.spec.ts","Bookstore POM","","","BookPage count test",""
"skipped","Mon Jan 15 20:56:27 GMT 2024","Mon Jan 15 20:56:27 GMT 2024","0","chromium","example.spec.ts","Bookstore","","","BooksPage test",""
"passed","Mon Jan 15 20:56:32 GMT 2024","Mon Jan 15 20:56:36 GMT 2024","4192","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Speaking JavaScript is present on page",""
