"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jan 15 21:39:31 GMT 2024","Mon Jan 15 21:39:31 GMT 2024","0","chromium","example.spec.ts","Bookstore","","","BooksPage test",""
"skipped","Mon Jan 15 21:39:31 GMT 2024","Mon Jan 15 21:39:31 GMT 2024","1","setup","global.setup.ts","","","","Setup",""
"passed","Mon Jan 15 21:39:40 GMT 2024","Mon Jan 15 21:39:47 GMT 2024","7775","chromium","page-object.spec.ts","Bookstore POM","","","Book Content Test",""
"passed","Mon Jan 15 21:39:40 GMT 2024","Mon Jan 15 21:39:43 GMT 2024","3685","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Understanding ECMAScript 6 is present on page",""
"skipped","Mon Jan 15 21:39:31 GMT 2024","Mon Jan 15 21:39:31 GMT 2024","0","chromium","example.spec.ts","Bookstore","","","Have correct title",""
"passed","Mon Jan 15 21:39:34 GMT 2024","Mon Jan 15 21:39:38 GMT 2024","4272","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Git Pocket Guide is present on page",""
"passed","Mon Jan 15 21:39:41 GMT 2024","Mon Jan 15 21:39:45 GMT 2024","3688","chromium","page-object.spec.ts","Bookstore POM","","","Mock book list test",""
"passed","Mon Jan 15 21:39:38 GMT 2024","Mon Jan 15 21:39:41 GMT 2024","3405","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name You Don't Know JS is present on page",""
"skipped","Mon Jan 15 21:39:31 GMT 2024","Mon Jan 15 21:39:31 GMT 2024","0","chromium","example.spec.ts","Bookstore","","","BookPage count test",""
"passed","Mon Jan 15 21:39:32 GMT 2024","Mon Jan 15 21:39:35 GMT 2024","3481","chromium","page-object.spec.ts","Bookstore POM","","","Have correct title",""
"passed","Mon Jan 15 21:39:35 GMT 2024","Mon Jan 15 21:39:40 GMT 2024","4255","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Speaking JavaScript is present on page",""
"passed","Mon Jan 15 21:39:39 GMT 2024","Mon Jan 15 21:39:43 GMT 2024","3966","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Eloquent JavaScript, Second Edition is present on page",""
"passed","Mon Jan 15 21:39:35 GMT 2024","Mon Jan 15 21:39:40 GMT 2024","4240","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Designing Evolvable Web APIs with ASP.NET is present on page",""
"passed","Mon Jan 15 21:39:39 GMT 2024","Mon Jan 15 21:39:42 GMT 2024","3481","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Programming JavaScript Applications is present on page",""
"passed","Mon Jan 15 21:39:34 GMT 2024","Mon Jan 15 21:39:39 GMT 2024","4742","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Learning JavaScript Design Patterns is present on page",""
"passed","Mon Jan 15 21:39:32 GMT 2024","Mon Jan 15 21:39:34 GMT 2024","1895","chromium","api-tests.spec.ts","Simple example API tests on PW","","","Tatooine test",""
"passed","Mon Jan 15 21:39:32 GMT 2024","Mon Jan 15 21:39:35 GMT 2024","3583","chromium","page-object.spec.ts","Bookstore POM","","","BookPage count test",""
"passed","Mon Jan 15 21:39:32 GMT 2024","Mon Jan 15 21:39:34 GMT 2024","2490","chromium","api-tests.spec.ts","Simple example API tests on PW","","","Luke Skywalker Test",""
"passed","Mon Jan 15 21:39:32 GMT 2024","Mon Jan 15 21:39:39 GMT 2024","7036","chromium","page-object.spec.ts","Bookstore POM","","","BooksPage test",""
"failed","Mon Jan 15 21:40:04 GMT 2024","Mon Jan 15 21:40:12 GMT 2024","8063","chromium","page-object.spec.ts","Bookstore POM","","","Failing test",""
