"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 21:38:20 GMT 2024","Mon Jan 15 21:38:24 GMT 2024","3873","chromium","page-object.spec.ts","Bookstore POM","","","BookPage count test",""
"skipped","Mon Jan 15 21:38:19 GMT 2024","Mon Jan 15 21:38:19 GMT 2024","1","setup","global.setup.ts","","","","Setup",""
"passed","Mon Jan 15 21:38:20 GMT 2024","Mon Jan 15 21:38:26 GMT 2024","6118","chromium","page-object.spec.ts","Bookstore POM","","","BooksPage test",""
"passed","Mon Jan 15 21:38:24 GMT 2024","Mon Jan 15 21:38:28 GMT 2024","4206","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Designing Evolvable Web APIs with ASP.NET is present on page",""
"passed","Mon Jan 15 21:38:20 GMT 2024","Mon Jan 15 21:38:24 GMT 2024","3732","chromium","page-object.spec.ts","Bookstore POM","","","Have correct title",""
"skipped","Mon Jan 15 21:38:19 GMT 2024","Mon Jan 15 21:38:19 GMT 2024","0","chromium","example.spec.ts","Bookstore","","","Have correct title",""
"passed","Mon Jan 15 21:38:26 GMT 2024","Mon Jan 15 21:38:30 GMT 2024","4100","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name You Don't Know JS is present on page",""
"skipped","Mon Jan 15 21:38:19 GMT 2024","Mon Jan 15 21:38:19 GMT 2024","1","chromium","example.spec.ts","Bookstore","","","BooksPage test",""
"passed","Mon Jan 15 21:38:24 GMT 2024","Mon Jan 15 21:38:28 GMT 2024","3545","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Speaking JavaScript is present on page",""
"passed","Mon Jan 15 21:38:28 GMT 2024","Mon Jan 15 21:38:31 GMT 2024","3598","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Understanding ECMAScript 6 is present on page",""
"skipped","Mon Jan 15 21:38:19 GMT 2024","Mon Jan 15 21:38:19 GMT 2024","0","chromium","example.spec.ts","Bookstore","","","BookPage count test",""
"failed","Mon Jan 15 21:38:50 GMT 2024","Mon Jan 15 21:38:58 GMT 2024","8190","chromium","page-object.spec.ts","Bookstore POM","","","Failing test",""
"passed","Mon Jan 15 21:38:26 GMT 2024","Mon Jan 15 21:38:30 GMT 2024","3918","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Eloquent JavaScript, Second Edition is present on page",""
"passed","Mon Jan 15 21:38:30 GMT 2024","Mon Jan 15 21:38:33 GMT 2024","3228","chromium","page-object.spec.ts","Bookstore POM","","","Mock book list test",""
"passed","Mon Jan 15 21:38:26 GMT 2024","Mon Jan 15 21:38:30 GMT 2024","3550","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Programming JavaScript Applications is present on page",""
"passed","Mon Jan 15 21:38:20 GMT 2024","Mon Jan 15 21:38:22 GMT 2024","1495","chromium","api-tests.spec.ts","Simple example API tests on PW","","","Luke Skywalker Test",""
"passed","Mon Jan 15 21:38:20 GMT 2024","Mon Jan 15 21:38:22 GMT 2024","1454","chromium","api-tests.spec.ts","Simple example API tests on PW","","","Tatooine test",""
"passed","Mon Jan 15 21:38:22 GMT 2024","Mon Jan 15 21:38:26 GMT 2024","4344","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Learning JavaScript Design Patterns is present on page",""
"passed","Mon Jan 15 21:38:22 GMT 2024","Mon Jan 15 21:38:26 GMT 2024","4466","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Git Pocket Guide is present on page",""
"passed","Mon Jan 15 21:38:28 GMT 2024","Mon Jan 15 21:38:34 GMT 2024","6083","chromium","page-object.spec.ts","Bookstore POM","","","Book Content Test",""
