"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 17:08:55 GMT 2024","Wed Jan 17 17:09:00 GMT 2024","4455","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name Learning JavaScript Design Patterns is present on page",""
"passed","Wed Jan 17 17:09:00 GMT 2024","Wed Jan 17 17:09:04 GMT 2024","3988","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name Programming JavaScript Applications is present on page",""
"passed","Wed Jan 17 17:09:03 GMT 2024","Wed Jan 17 17:09:09 GMT 2024","6380","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Book Content Test (Working with more than one tab)",""
"passed","Wed Jan 17 17:09:03 GMT 2024","Wed Jan 17 17:09:07 GMT 2024","4064","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name Eloquent JavaScript, Second Edition is present on page",""
"skipped","Wed Jan 17 17:08:53 GMT 2024","Wed Jan 17 17:08:53 GMT 2024","0","chromium","example.spec.ts","Example of tests without Page Object","","","BooksPage test",""
"passed","Wed Jan 17 17:08:58 GMT 2024","Wed Jan 17 17:09:03 GMT 2024","4393","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name Speaking JavaScript is present on page",""
"failed","Wed Jan 17 17:09:26 GMT 2024","Wed Jan 17 17:09:35 GMT 2024","8709","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Failing test",""
"passed","Wed Jan 17 17:08:54 GMT 2024","Wed Jan 17 17:08:58 GMT 2024","4436","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Have correct title",""
"passed","Wed Jan 17 17:08:54 GMT 2024","Wed Jan 17 17:08:55 GMT 2024","1051","chromium","api-tests.spec.ts","Simple example API tests on PW","","","Luke Skywalker Test",""
"passed","Wed Jan 17 17:08:58 GMT 2024","Wed Jan 17 17:09:03 GMT 2024","4678","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name Designing Evolvable Web APIs with ASP.NET is present on page",""
"passed","Wed Jan 17 17:08:55 GMT 2024","Wed Jan 17 17:08:59 GMT 2024","4277","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name Git Pocket Guide is present on page",""
"passed","Wed Jan 17 17:08:54 GMT 2024","Wed Jan 17 17:09:03 GMT 2024","8527","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","BooksPage test",""
"skipped","Wed Jan 17 17:08:53 GMT 2024","Wed Jan 17 17:08:53 GMT 2024","1","setup","global.setup.ts","","","","Setup",""
"passed","Wed Jan 17 17:08:59 GMT 2024","Wed Jan 17 17:09:04 GMT 2024","4436","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name You Don't Know JS is present on page",""
"skipped","Wed Jan 17 17:08:53 GMT 2024","Wed Jan 17 17:08:53 GMT 2024","0","chromium","example.spec.ts","Example of tests without Page Object","","","Have correct title",""
"passed","Wed Jan 17 17:09:04 GMT 2024","Wed Jan 17 17:09:08 GMT 2024","4300","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Mock book list test",""
"passed","Wed Jan 17 17:09:03 GMT 2024","Wed Jan 17 17:09:07 GMT 2024","4314","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","Checking that book with name Understanding ECMAScript 6 is present on page",""
"skipped","Wed Jan 17 17:08:53 GMT 2024","Wed Jan 17 17:08:53 GMT 2024","1","chromium","example.spec.ts","Example of tests without Page Object","","","BookPage count test",""
"passed","Wed Jan 17 17:08:54 GMT 2024","Wed Jan 17 17:08:55 GMT 2024","1050","chromium","api-tests.spec.ts","Simple example API tests on PW","","","Tatooine test",""
"passed","Wed Jan 17 17:08:54 GMT 2024","Wed Jan 17 17:08:58 GMT 2024","4654","chromium","page-object.spec.ts","Example tests with Page Object Model and custom fixtures","","","BookPage count test",""
