"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 21:29:18 GMT 2024","Mon Jan 15 21:29:23 GMT 2024","5171","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Speaking JavaScript is present on page",""
"passed","Mon Jan 15 21:29:17 GMT 2024","Mon Jan 15 21:29:23 GMT 2024","5636","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Designing Evolvable Web APIs with ASP.NET is present on page",""
"passed","Mon Jan 15 21:29:14 GMT 2024","Mon Jan 15 21:29:17 GMT 2024","2977","chromium","page-object.spec.ts","Bookstore POM","","","BookPage count test",""
"skipped","Mon Jan 15 21:29:14 GMT 2024","Mon Jan 15 21:29:14 GMT 2024","1","chromium","example.spec.ts","Bookstore","","","BookPage count test",""
"passed","Mon Jan 15 21:29:23 GMT 2024","Mon Jan 15 21:29:27 GMT 2024","4298","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Understanding ECMAScript 6 is present on page",""
"passed","Mon Jan 15 21:29:14 GMT 2024","Mon Jan 15 21:29:18 GMT 2024","3147","chromium","page-object.spec.ts","Bookstore POM","","","Have correct title",""
"passed","Mon Jan 15 21:29:23 GMT 2024","Mon Jan 15 21:29:31 GMT 2024","8187","chromium","page-object.spec.ts","Bookstore POM","","","Book Content Test",""
"passed","Mon Jan 15 21:29:26 GMT 2024","Mon Jan 15 21:29:30 GMT 2024","4118","chromium","page-object.spec.ts","Bookstore POM","","","Mock book list test",""
"passed","Mon Jan 15 21:29:14 GMT 2024","Mon Jan 15 21:29:22 GMT 2024","7326","chromium","page-object.spec.ts","Bookstore POM","","","BooksPage test",""
"passed","Mon Jan 15 21:29:22 GMT 2024","Mon Jan 15 21:29:27 GMT 2024","5028","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Programming JavaScript Applications is present on page",""
"passed","Mon Jan 15 21:29:14 GMT 2024","Mon Jan 15 21:29:16 GMT 2024","1780","chromium","api-tests.spec.ts","Simple example API tests on PW","","","Luke Skywalker Test",""
"passed","Mon Jan 15 21:29:14 GMT 2024","Mon Jan 15 21:29:17 GMT 2024","2807","chromium","api-tests.spec.ts","Simple example API tests on PW","","","Tatooine test",""
"passed","Mon Jan 15 21:29:23 GMT 2024","Mon Jan 15 21:29:28 GMT 2024","4869","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Eloquent JavaScript, Second Edition is present on page",""
"passed","Mon Jan 15 21:29:21 GMT 2024","Mon Jan 15 21:29:26 GMT 2024","4461","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name You Don't Know JS is present on page",""
"skipped","Mon Jan 15 21:29:14 GMT 2024","Mon Jan 15 21:29:14 GMT 2024","0","chromium","example.spec.ts","Bookstore","","","Have correct title",""
"passed","Mon Jan 15 21:29:16 GMT 2024","Mon Jan 15 21:29:21 GMT 2024","5071","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Git Pocket Guide is present on page",""
"skipped","Mon Jan 15 21:29:14 GMT 2024","Mon Jan 15 21:29:14 GMT 2024","2","setup","global.setup.ts","","","","Setup",""
"failed","Mon Jan 15 21:29:48 GMT 2024","Mon Jan 15 21:29:56 GMT 2024","8436","chromium","page-object.spec.ts","Bookstore POM","","","Failing test",""
"skipped","Mon Jan 15 21:29:14 GMT 2024","Mon Jan 15 21:29:14 GMT 2024","0","chromium","example.spec.ts","Bookstore","","","BooksPage test",""
"passed","Mon Jan 15 21:29:17 GMT 2024","Mon Jan 15 21:29:23 GMT 2024","6138","chromium","page-object.spec.ts","Bookstore POM","","","Checking that book with name Learning JavaScript Design Patterns is present on page",""
